objet_social_parent_id,objet_social_id,objet_social_lib
016000,016015,recherche sur la vie sociale et politique 
016000,016025,recherche sur l'environnement et le climat 
016000,016030,"association de recherches scientifiques, sciences physiques, sciences humaines."
016000,016050,autres associations de recherche 
016000,016080,"diffusion de savoirs, sociétés savantes, sociétés académiques"
023000,023000,"REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
023000,023001,usagers de services publics 
023000,023002,mouvements de consommateurs 
023000,023003,association de défense des contribuables 
023000,023004,"association d'actionnaires, d'épargnants"
023000,023005,groupements de salariés à caractère syndical  
023000,023007,groupements professionnels 
023000,023010,associations de défense d'intérêts des retraités ou des personnes âgées 
023000,023020,"associations d'exploitants agricoles, élevage, horticulture, aviculture, apiculture, viticulture, viniculture"
023000,023022,"associations d'intérêts maritimes, marins"
023000,023025,"associations pour la représentation d'artisans, de commerçants"
023000,023030,unions patronales 
023000,023035,association de représentation de professions libérales 
023000,023040,représentation d'intérêts économiques sectoriels 
023000,023045,représentation d'intérêts régionaux et locaux 
017000,017000,SANTÉ 
017000,017005,"cliniques, centres médicaux, hôpitaux, sanatoriums, établissements de rééducation, maisons de convalescence"
017000,017015,"hôpitaux psychiatriques, soins ambulatoires en santé mentale"
017000,017020,"dispensaires, soins infirmiers, services paramédicaux, services de garde"
017000,017025,services médicaux d'urgence 
017000,017045,centres de réadaptation 
017000,017055,"accompagnement, aide aux malades"
017000,017065,"don de sang, don d'organe"
017000,017075,gestion de matériel médical 
017000,017085,hygiène diététique 
017000,017095,"accueil, information pour contraception et avortement"
017000,017105,médecine du travail 
017000,017115,"dépistage, prévention du sida"
017000,017120,"éducation sanitaire, prévention générale"
017000,017125,"prévention de maladies, dépistage de maladies (autres que le sida)"
017000,017130,"association de personnes malades, ou anciens malades"
017000,017135,"homéopathie, médecines douces"
017000,017145,"organisation des professions médicales,  organisation des professions paramédicales"
017000,017155,organisation de congrès médicaux 
017000,017200,recherche médicale  
017000,017210,financement de la recherche médicale 
017000,017300,"médecine animale, vétérinaire"
036000,036000,"SÉCURITÉ, PROTECTION CIVILE"
037000,036510,amicale de sapeurs pompiers 
037000,036520,"sauvetage, secourisme, protection civile"
037000,036530,"prévention, formation, cours de secourisme"
037000,036535,sécurité routière 
037000,036540,sauvetage en mer 
037000,036545,sécurité et sauvetage en montagne 
018000,018000,SERVICES ET ÉTABLISSEMENTS MÉDICO-SOCIAUX 
018000,018005,accueil et protection de la petite enfance 
018000,018010,établissements et services pour adolescents en difficulté 
018000,018015,"établissements et services pour enfants handicapés, établissements et services pour adultes handicapés, y compris les CAT (centres d'aide par le travail)."
018000,018025,"établissements et services pour adultes en difficulté, CHRS (centres d'hébergement et de réadaptation sociale)"
018000,018030,"prévention et lutte contre l'alcoolisme, le tabagisme, la toxicomanie"
018000,018040,aide aux accidentés du travail 
018000,018045,aide aux victimes de maladies professionnelles 
018000,018050,aide sociale aux personnes en situation de handicap 
021000,021000,"SERVICES FAMILIAUX, SERVICES AUX PERSONNES ÂGÉES"
021000,021005,"crèches, garderies, haltes garderies"
021000,021010,aide à domicile 
021000,021015,services aux personnes âgées (téléalarme.) 
021000,021020,"foyers pour personnes âgées, maisons de retraite,  maisons de retraite médicalisées"
011000,011000,"SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011004,arbitrage 
011000,011005,associations multisports locales 
011000,011010,associations multisports scolaires ou universitaires 
011000,011015,associations multisports d'entreprise 
011000,011018,handisport 
011000,011020,"athlétisme  (triathlon, pentathlon, footing, jogging)"
011000,011025,"aviron, canoë-kayak (aviron, rafting, canoë-kayak, joutes)"
011000,011030,"badminton  (badminton, squash, pelote basque)"
011000,011035,"boules  (pétanque, boules)"
011000,011040,bowling 
011000,011045,"danse sportive (danse sportive, hip hop, claquettes)"
011000,011050,"équitation  (équitation, hippisme, courses camarguaise, landaise)"
011000,011055,"escalade, montagne  (escalade, spéléologie, via ferrata, canyonisme, alpinisme)"
011000,011060,escrime  (escrime) 
011000,011065,basket-ball 
011000,011070,handball 
011000,011075,"football  (football, futsal)"
011000,011080,"rugby  (rugby à 13, à 15)"
011000,011085,"volley ball (volley, beach volley)"
011000,011090,"autres sports collectifs  (baseball, hockey sur gazon, hockey sur glace, football américain)"
011000,011092,"hockey sur glace, sports de glace"
011000,011095,"nautisme, glisse sur eau  (ski nautique, surf, char à voile)"
011000,011100,golf  
011000,011105,"gymnastique  (gymnastique, gymnastique d.entretien, éducation physique, yoga), aérobic"
011000,011110,haltérophilie 
011000,011115,"marche sportive  (randonnée pédestre, raid, trekking, course orientation)"
011000,011120,"musculation  (culturisme, musculation)"
011000,011125,"natation - baignade  (natation, plongée)"
011000,011130,roller - skate  
011000,011135,"sports aériens  (avion, planeur, ULM, parachutisme)"
011000,011140,judo  
011000,011145,"sports de combat  (boxe, kick box, boxe thaï, lutte)"
011000,011150,"autres arts martiaux  (karaté, aïkido, taekwondo)"
011000,011155,"sports de neige  (ski alpin, ski de fond, snowboard) sports de montagne"
011000,011160,"sports mécaniques  (sport automobile, moto, trial)"
011000,011165,"tennis  (tennis, longue paume)"
011000,011170,"tennis de table  (tennis de table, ping-pong)"
011000,011175,"tir  (tir à l.arc, tir à balle, ball-trap), javelot"
011000,011180,"cyclisme (cyclisme, vélo, VTT, y compris course d.orientation à vélo, cyclotourisme)"
011000,011185,"voile  (voile, dériveur, planche à voile)"
011000,011190,"gestion d'équipements sportifs, organisation de rencontres sportives, organisation de championnats, clubs de supporters"
011000,011192,"associations pour la promotion du sport, médailles, mérite sportif"
011000,011400,activités de plein air (dont saut à l'élastique) 
034000,034000,TOURISME 
034000,034210,"auberges de jeunesse, organisation de voyages,"
034000,034220,maisons et villages de vacances 
034000,034230,"gîtes ruraux, camping, caravaning, naturisme"
034000,034240,"syndicats d'initiative, offices de tourisme, salons du tourisme"
