objet_social_parent_id,objet_social_id,objet_social_lib,objet_social_parent_lib
010000,010022,comités de défense du patrimoine ,PRÉSERVATION DU PATRIMOINE 
010000,010030,construction de monuments (sauf lieux de culte) ,PRÉSERVATION DU PATRIMOINE 
016000,016005,recherche sur l'éducation et la formation  ,RECHERCHE 
016000,016010,recherche sur la culture  ,RECHERCHE 
016000,016015,recherche sur la vie sociale et politique ,RECHERCHE 
016000,016025,recherche sur l'environnement et le climat ,RECHERCHE 
016000,016030,"association de recherches scientifiques, sciences physiques, sciences humaines.",RECHERCHE 
016000,016050,autres associations de recherche ,RECHERCHE 
016000,016080,"diffusion de savoirs, sociétés savantes, sociétés académiques",RECHERCHE 
023000,023001,usagers de services publics ,"REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
023000,023002,mouvements de consommateurs ,"REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
023000,023003,association de défense des contribuables ,"REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
023000,023004,"association d'actionnaires, d'épargnants","REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
023000,023005,groupements de salariés à caractère syndical  ,"REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
023000,023007,groupements professionnels ,"REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
023000,023010,associations de défense d'intérêts des retraités ou des personnes âgées ,"REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
023000,023020,"associations d'exploitants agricoles, élevage, horticulture, aviculture, apiculture, viticulture, viniculture","REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
023000,023022,"associations d'intérêts maritimes, marins","REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
023000,023025,"associations pour la représentation d'artisans, de commerçants","REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
023000,023030,unions patronales ,"REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
023000,023035,association de représentation de professions libérales ,"REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
023000,023040,représentation d'intérêts économiques sectoriels ,"REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
023000,023045,représentation d'intérêts régionaux et locaux ,"REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES"
017000,017005,"cliniques, centres médicaux, hôpitaux, sanatoriums, établissements de rééducation, maisons de convalescence",SANTÉ 
017000,017015,"hôpitaux psychiatriques, soins ambulatoires en santé mentale",SANTÉ 
017000,017020,"dispensaires, soins infirmiers, services paramédicaux, services de garde",SANTÉ 
017000,017025,services médicaux d'urgence ,SANTÉ 
017000,017045,centres de réadaptation ,SANTÉ 
017000,017055,"accompagnement, aide aux malades",SANTÉ 
017000,017065,"don de sang, don d'organe",SANTÉ 
017000,017075,gestion de matériel médical ,SANTÉ 
017000,017085,hygiène diététique ,SANTÉ 
017000,017095,"accueil, information pour contraception et avortement",SANTÉ 
017000,017105,médecine du travail ,SANTÉ 
017000,017115,"dépistage, prévention du sida",SANTÉ 
017000,017120,"éducation sanitaire, prévention générale",SANTÉ 
017000,017125,"prévention de maladies, dépistage de maladies (autres que le sida)",SANTÉ 
017000,017130,"association de personnes malades, ou anciens malades",SANTÉ 
017000,017135,"homéopathie, médecines douces",SANTÉ 
017000,017145,"organisation des professions médicales,  organisation des professions paramédicales",SANTÉ 
017000,017155,organisation de congrès médicaux ,SANTÉ 
017000,017200,recherche médicale  ,SANTÉ 
017000,017210,financement de la recherche médicale ,SANTÉ 
017000,017300,"médecine animale, vétérinaire",SANTÉ 
037000,036510,amicale de sapeurs pompiers ,
037000,036520,"sauvetage, secourisme, protection civile",
037000,036530,"prévention, formation, cours de secourisme",
037000,036535,sécurité routière ,
037000,036540,sauvetage en mer ,
037000,036545,sécurité et sauvetage en montagne ,
018000,018005,accueil et protection de la petite enfance ,SERVICES ET ÉTABLISSEMENTS MÉDICO-SOCIAUX 
018000,018010,établissements et services pour adolescents en difficulté ,SERVICES ET ÉTABLISSEMENTS MÉDICO-SOCIAUX 
018000,018015,"établissements et services pour enfants handicapés, établissements et services pour adultes handicapés, y compris les CAT (centres d'aide par le travail).",SERVICES ET ÉTABLISSEMENTS MÉDICO-SOCIAUX 
018000,018025,"établissements et services pour adultes en difficulté, CHRS (centres d'hébergement et de réadaptation sociale)",SERVICES ET ÉTABLISSEMENTS MÉDICO-SOCIAUX 
018000,018030,"prévention et lutte contre l'alcoolisme, le tabagisme, la toxicomanie",SERVICES ET ÉTABLISSEMENTS MÉDICO-SOCIAUX 
018000,018040,aide aux accidentés du travail ,SERVICES ET ÉTABLISSEMENTS MÉDICO-SOCIAUX 
018000,018045,aide aux victimes de maladies professionnelles ,SERVICES ET ÉTABLISSEMENTS MÉDICO-SOCIAUX 
018000,018050,aide sociale aux personnes en situation de handicap ,SERVICES ET ÉTABLISSEMENTS MÉDICO-SOCIAUX 
021000,021005,"crèches, garderies, haltes garderies","SERVICES FAMILIAUX, SERVICES AUX PERSONNES ÂGÉES"
021000,021010,aide à domicile ,"SERVICES FAMILIAUX, SERVICES AUX PERSONNES ÂGÉES"
021000,021015,services aux personnes âgées (téléalarme.) ,"SERVICES FAMILIAUX, SERVICES AUX PERSONNES ÂGÉES"
021000,021020,"foyers pour personnes âgées, maisons de retraite,  maisons de retraite médicalisées","SERVICES FAMILIAUX, SERVICES AUX PERSONNES ÂGÉES"
011000,011004,arbitrage ,"SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011005,associations multisports locales ,"SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011010,associations multisports scolaires ou universitaires ,"SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011015,associations multisports d'entreprise ,"SPORTS, ACTIVITÉS DE PLEIN AIR"
011000,011018,handisport ,"SPORTS, ACTIVITÉS DE PLEIN AIR"
